Name,Address,Zip Code,State,Phone,Web URL,null-Address,Type,Style
Armas De Mano Filipino Arts Academy,"9227 Gulfstream rd, Unit A, Frankfort",60423,Illinois,(708) 646-1006,null,null@null.com,School,
Balanced Dynamics Academy,"1300 East B St., #2, Belleville ",62221,Illinois,[618] 5308761,null,null,school,
Bandalan Doce Pares," 331 Tiverton Lane, Steger ",60475,Illinois,[708] 7567240,null,null,school,
DBFMA Modern Arnis,"605 E. Ogden Ave., Naperville ",60563,Illinois,[630] 4478286,null,null,school,Arnis
Defensive Combat Initiatives,"PO Box 29, Millstadt ",62260,Illinois,[618] 9793558,null,null,school,
Defensive Combat Initiatives,"PO Box 29, Millstadt",62260,Illinois,618-979-3558,www.defensivecombat.com,admin@defensivecombat.com,School,
Defensor Method Elgin,"1080 E, Chicago St., Elgin ",60120,Illinois,[847] 8737907,null,null,school,
Eagle & Dragon Martial Arts Academy,"2331a Old Collinsville Rd., Belleville ",62221,Illinois,[618] 2222888,null,null,school,
Elite Martial Arts & Fitness," 4001 Golf Rd., Skokie ",60076,Illinois,[847] 3290291,null,null,school,
Extreme Kung Fu/Wu Shu Training Center,"6525 N. Clark St., Chicago ",null,Illinois,[773] 7196488,null,null,school,
Filipino Kali / Eskrima Academy of Chicago,"4357 N. Lincoln Ave., Chicago ",60618,Illinois,[847] 2393990,null,null,school,Kali / Eskrima
JKDConcepts/Kali/Silat of Bloomington,"602 S Main St, Bloomington ",61701,Illinois,[309] 3107626,null,null,school,Kali
Kali Combat Academy, Chicago ,60088,Illinois,[847] 9897847,null,null,school,
Kennedy's Martial Arts Academy,"1199 Biesterfield Road, Elk Grove Village ",60007,Illinois,[847] 8918731,null,null,school,
Midway Kodenkan,"5159 Archer Ave., Chicago ",60632,Illinois,[773] 2848818,null,null,school,
RFA Martial Academy,"1212 Capitol Dr., Addison ",60101,Illinois,[224] 6596984,null,null,school,
Temujin 2 (Lucaylucay Kali/JKD Association),"611 N Orchard, West Frankfort ",62896,Illinois,[618] 8890647,null,null,school,Kali
"The Defensor Method, Filipino Kali-Eskrima Academy of Chicago",Address Chicago,null,Illinois,847-239-3990,http://www.defensormethod.com/,guronate@sbcglobal.net,School,Kali / Eskrima
Windy City Pekiti-Tirsia Kali (3 Locations)," 1214-3 Capitol Dr., Addison",60101,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
Windy City Pekiti-Tirsia Kali (3 Locations),"7004 Huntley Rd., Carpentersville",60110,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
Windy City Pekiti-Tirsia Kali (3 Locations)," 823 Emerson, Evanston",60201,Illinois,224-659-6984,http://www.windycityptk.com/,windycityptk@gmail.com,School,Kali
World Martial Arts Academy USA,"316 Anderson Blvd., Geneva ",60134,Illinois,[630] 4020033,null,null,school,
World Martial Arts Academy USA,"316 Anderson Blvd, Geneva",60134,Illinois,630-402-0033,www.WorldMartialArtsUSA.com / www.facebook.com/WorldMartialArtsUSA,info@WorldMartialArtsUSA.com,School,
"World Serrada Escrima Federation, Headhunter Sports, Forteza Fitness and Martial Arts","4437 North Ravenswood Ave., Chicago",60640,Illinois,null,www.meetup.com/Headhunter-Sports-Filipino-Martial-Arts,null@null.com,School,Escrima
Xtreme Training Academy,1292 Humbracht Circle Unit E.. Bartlett ,60103,Illinois,[630] 7800054,null,null,school,
Indy Arnis Club,"7141 Southeastern Ave., Indianapolis ",46239,Indiana,null,null,null,school,Arnis
Parris Martial Arts Academy,"Fort Wayne,",null,Indiana,null,null,null@null.com,School,
Wetoskey Academy of Martial Arts,"4127-U.S. Hwy. 6, Waterloo",46793,Indiana,260-837-7454,www.wetoskey.com,wetoskey@hotmail.com,School,
Midwest Martial Arts Group,"3104 Eads St., Davenport ",52802,Iowa,[563] 4997561,null,null,school,
Academy of Martial Arts,"401 N. Madison St., Spring Hill ",66083,Kansas,[913] 6081515,www.theacademyofma.com,Dan@theacademyofma.com,school,
Malay Fighting Arts Academy,"856 East 167th Court, Gardner ",66030,Kansas,[913] 6264372,null,null,school,
Malay Fighting Arts Academy,"Gardner,",null,Kansas ,913-626-4372,www.pukulan.net,null@null.com,School,
AFS Academy of Martial Arts," 427 Big Hill Ave., Richmond ",40475,Kentucky,[859] 6238023,null,null,school,
Roninkan,Highgrove ,40013,Kentucky,null,null,null,school,
"Smith Martial Arts Center, Hock Hochheim's Pacific Archipelago Combatives System, Mr. Duran Sheets",2987 North Bend Road Hebron,41048,Kentucky,null,www.smacfit365.com,sheetd01@gmail.com,School,
Tactical Combative Kali,,40475,Kentucky,[859] 6262476,null,null,school,Kali
USA Philippine Jendo Association," 702 Hickory Ridge Circle, Hopkinsville ",42240,Kentucky,[270] 3051869,null,null,school,
Element of Surprise FMA,"22 Alvin Dr., Pineville ",71360,Louisiana,[318] 7304636,null,null,school,
Progressive Martial Arts Training Center,"910 E. Main St., Suite 31, New Iberia ",70560,Louisiana,[337] 2011791,null,null,school,
"Classic Escrima, Ronald A. Harris, Ph.D., Chief Instructor","244 Arian Lane, Covington, ",70433,Louisiana ,985-249-0801,null,ruow@yahoo.com,School,Escrima
Apolo's Karate (Pekiti Tirisa Kali System),"750 Maryland Route 3South, Gambrills ",21054,Maryland,[410] 9235222,null,null,school,
Black Tiger Martial Arts Academy,"6901 Security Blvd. # 2038, Windsor Mill ",21244,Maryland,[443] 5403672,null,null,school,
DC Kali,"916 G Street, NW., Washington",null,Maryland,null,null,null,school,
Gentle East Martial Arts,"8749 Flower Ave, Takoma , Silver Spring ",20910,Maryland,(301) 7688401,null,null,school,
Hebb Institute of Martial Arts,"Park Rd., Williamsport ",21795,Maryland,[301] 2237719,null,null,school,
Pekiti Tirsia Kali DC/MD/VA,"Benfield Sportscenter, 1031 Benfield Blvd., Millersville ",21108,Maryland,[443] 3029613,null,null,school,
Pinakatay Arnis Sigidas,"949 Bonifant Ave., Silver Spring ",20910,Maryland,[301] 7688401,null,null,school,Arnis
School Of Ahati,"11225 Oak Leaf Dr., Silver Spring ",20901,Maryland,[301] 5370028,null,null,school,
World Nickelstick Balintawak Escrima Maryland, Towson ,21286,Maryland,[443] 7630420,null,null,school,Escrima
YawYan Fervilleon Martial Arts US HQ,"601 Dover Rd, Suite 12, Rockville ",20850,Maryland,[855] 8929926,null,null,school,
"Lumad Sigbin Kali – FMA, Cebu-Visayan Wedo Corto-Close Quarter Combat","HoneyGo Run Regional Recreation Center, 9033 Honeygo Blvd, Perry Hall",21128,Maryland ,443-825-0259,null,null@null.com,School,
Nickelstick Balintawak Eskrima,"Baltimore,",null,Maryland ,443-763-0420,null,innercourt@gmail.com,School,Eskrima
Pekiti Tirsia Kali DC/MD/VA,"Benfield Sports center, 1031 Benfield Blvd., Millersville",21108,Maryland ,443-302-9613,ptk-kdp.com,ptk.kdp@gmail.com,School,Kali
Pekiti Tirsia Kali DC/MD/VA,"7408 Livingston Rd., Suite 2D (2nd flr), Oxon Hill",20745,Maryland ,443-302-9613,ptk-kdp.com,null@ptk-kdp.com,School,Kali
"Pekiti Tirsia Kali, Tiger Paw","113 Beacon Road, Middle River",21220,Maryland ,null,null,null@null.com,School,
"Pekiti Tirsia Kali, Victory Martial Arts","6590-5A Old Waterloo Road, Lark Brown Shopping Center, Elkridge",21075,Maryland ,410.799.5566,null,null@null.com,School,
Anderson Kali,"44 South St. (American Legion, Post217), Plainville ",02761,Massachusetts,508-838-0056,www.Anderson-Kali.com,null,school,
Boston Arnis Club,Boston ,null,Massachusetts,[603] 5293564,null,null,Club,Arnis
Catanese Kajukenbo ETS method,"950 East Falmouth Highway, Falmouth ",02563,Massachusetts,[617] 7022220 ,null,null,school,
CSE Boston (Combat Serrada Escrima) ,"600 Columbia Rd., #26, Dorchester ",02125,Massachusetts,[617] 8690516,null,null,school,Escrima
Dragon Within Martial Arts,"26 Howley St., Peabody ",01970,Massachusetts,[978] 5318511,null,null,school,
Jou Fang Chuan Nine Anle Fist,"50 North Beacon St., Boston ",02134,Massachusetts,[617] 6809981 ,null,null,school,
Martial Arts Research Institute,"53 Mason St. Suite 201, Salem ",01970,Massachusetts,[978] 7770586,null,null,school,
Methuen,,01844,Massachusetts,[978] 7716653,null,null,school,
Pence Self Defense,"226 Cambridge St., Burlington ",01803,Massachusetts,[877] 527 2838,null,null,school,
Phoenix Martial Arts of Massachusetts,"54 Sumner St., Milford ",01757,Massachusetts,[516] 3534923,null,null,school,
SEAFA," 375 Foundry St., Easton",null,Massachusetts,[508] 8898414,null,null,school,
Universal Grapping Arts,Malden ,02148,Massachusetts,null,null,null,school,
White Leopard Sikaran,"540 Main St., Athol ",01331,Massachusetts,[978] 2496328,null,null,school,
Attributive Martial Arts Inc.,"697 Princess Dr., Canton ",48188,Michigan,[734] 9811774,null,null,school,
"Attributive Martial Arts, Inc.","697 Princess Dr., Canton",48188,Michigan,(734) 981-1774,www.AttributiveMartialArts.com,amarts@sbcglobal.net,School,
Grand Rapids Kali Club,"401 Hall St. #59 Suite B-148, Grand Rapids",49503,Michigan,616-272-2556,www.grkali.com,null@null.com,School,Kali
Instinctive Response Training,"200 West Center, Alma ",48801,Michigan,[989] 5608004,null,null,school,
K.S.K. Martial Arts,"3712 Homewood, Lansing ",48910,Michigan,[517] 8539856,null,null,school,
K.S.K. Martial Arts,Lansing,null,Michigan,(517) 853-9856,www.TKENTNELSON.com,tk.martialarts@gmail.com,School,
King Tiger Martial Arts School (Sina Tirsia Wali Kali/Silat), Detroit ,48030,Michigan,[248] 5445657,null,null,school,Kali
Martial Arts Unlimited,"1060 West 14 Mile , Clawson, MI ",48017,Michigan,[248] 4354030,null,null,school,
Masters and Champions (Concepts in Motion),"6072 S. Saginaw St., Grand Blanc ",48439,Michigan,[810] 3483421,null,null,school,
Michigan Modern Arnis (A MARPPIO School),"11860 Wheaton Dr., Sterling Heights ",48313,Michigan,[586] 7390497,null,null,school,Arnis
Michigan Pekiti Tirsia Pitbulls,Detroit,null,Michigan,[248] 9817495,null,null,school,
Modern Arnis Connection,Lansing/East Lansing,null,Michigan,517-321-4638,www.modernarnisconnection.com,null@null.com,School,Arnis
Northern Martial Arts Academy,"6403 Cedar Run Rd, Traverse City",49684,Michigan,(231) 929-3795,null,null@null.com,School,
Progressive Kali Silat,"315 Larry Ln., Charlotte ",48813,Michigan,[517] 5412864,null,null,school,Kali
Pukulan Power Self Defense,"3330 W. Water St, Port Huron ",48060,Michigan,[810] 8410682,null,null,school,
Straight Lead Gym,Grand Rapids,null,Michigan, (616) 589-2288,null,straightleadgym@gmail.com,School,
The Academy Martial Arts and Fitness,"700 S. Poseyville Road, Midland",48640,Michigan,989-631-5960,theacademymartialartsandfitness.webs.com,null@null.com,School,
Zen Modern Arnis,Warren ,48091,Michigan,[586] 4848407,null,null,school,Arnis
Bahad Zubu Midwest Chapter,"2913 Lyndale Ave. S., Minneapolis ",55408,Minnesota,[612] 5677727,null,null,school,
Bahad Zubu Midwest Chapter,"655 Fairview Ave N, St Paul",55104,Minnesota,612-567-7727,www.bahadzubu.org / www.vikingcombat.com,null@null.com,School,
Innovative Fighting Arts," 87212 Oak Lake Rd South, Kerrick ",55756,Minnesota,[218] 4965890,null,null,school,
Minneapolis Kali Group,"532 Chicago Ave. S., Minneapolis ",55407,Minnesota,[612] 8216800,null,null,school,Kali
Minnesota Kali Group,"4532 Chicago Ave. S., Minneapolis",55407,Minnesota,612-821-6100,http://www.mnkali.com,null@null.com,School,Kali
Minnesota Martial Arts Academy,"1916 57th Avenue North, Brooklyn Center ",55430,Minnesota,[763] 5605696,null,null,school,
Philippine Combat Arts,"4930 MN169, New Hope ",55428,Minnesota,[612] 3274002,null,null,school,
Warrior's Cove,"3004 Texas Ave., Saint Louis Park ",55426,Minnesota,[612] 9788959,null,null,school,
Backyard Brotherhood Una Sa Laban,"4044 state route DD, Willow Springs ",65793,Missouri,[417] 2523441,null,null,school,
Combat Zone ,"2331 N. Pierce, Springfield ",65803,Missouri,[417] 8316840,null,null,school,
Dexter's Martial Arts Training Center," 1310 Grand Ave., Columbia ",65203,Missouri,[573] 6900041,null,null,school,
Garimot Arnis Saint Louis ,"Willmore Park, Hampton and Jamieson Ave., St. Louis ",63109,Missouri,null,null,null,school,Arnis
Saint Louis Counterpoint Martial Arts,"1072 Wolfrum Rd., St Charles ",63304,Missouri,null,null,null,school,
"The Warrior Academy, Agila Arnis","2213 west st, Excelsior Springs",64024,Missouri,816-630-9816,null,robertsmll@yahoo.com,School,Arnis
Billings Chi Tu Do,"1807 Grand Ave., Billings ",59102,Montana,null,null,null,school,
7th Direction School of Martial Arts / Treceham,"Box 216, Macy ",68039,Nevada,[402] 8465554,null,null,school,
"CDF Academies of Martial Arts, Kali/JKD Las Vegas Headquarters",Las Vegas,null,Nevada,1-855 KALIJKD,www.Richardlamoureaux.com,null@null.com,School,
CKI Jeet Kune Do & Filipino Combat Escrima International,"730 W. Sunset Blvd., Las Vegas",null,Nevada,[702] 2343189,null,null,school,Escrima
Creative Warrior Academy of Las Vegas,Las Vegas,null,Nevada,702-302-3926,null,null@null.com,School,
Filipino Mixed Martial Arts,"4331 W. Charleston Blvd, Las Vegas ",89131,Nevada,[702] 8718883,null,null,school,
Integrating Kali Combative Concepts (IKCC),"Carson River Dr., Dayton ",89403,Nevada,[419] 9134522,null,null,school,Kali
Las Vegas Kung Fu Academy,"11165 S. Eastern Ave. Ste. 110, Henderson ",89052,Nevada,[702] 3361095,null,null,school,
Tribal Advantage Systems International,"3155 W. Post Rd., Las Vegas 89118",null,Nevada,[702] 7853111,null,null,school,
Boston Arnis Club,"PO Box 171, Weare ",03281,New Hampshire,[603] 7593163,null,null,school,Arnis
Bujinkan Dojo,Manchester ,03101,New Hampshire,[603] 6683181,null,null,school,
Green Mountain Martial Arts (Latosa Escrima Dai Si Hing Dan Palow),"PO Box 806, Hanover",null,New Hampshire,[802] 3339104,null,null,school,Escrima
Guy Chase Academy,"1660 Greenland Rd., Greenland ",03060,New Hampshire,[978] 8538513,null,null,school,
SEAFA,"11 Tallwood Dr., Bow ",03303,New Hampshire,[603] 4960504,null,null,school,
Terry Dow's Academy of Martial Arts,"18 South Commercial St., Manchester ",03101,New Hampshire,[603] 5916546,null,null,school,
97 Main St.,"97 Main St., Woodbridge ",07095,New Jersey,null,null,null,school,
Alex Wilkie's Martial Arts Academy,"783 E. Main St., Bldg. 30E, Bridgewater ",08807,New Jersey,[732] 7481580,null,null,school,
Amara Arkanis Filipino Martial Arts Education,"#5 Scott St., Riverside ",08075,New Jersey,[609] 4563589,null,null,school,
Amerasian Defensive Arts Inc.,"2512 Elmwood Ave., Buffalo ",14217,New Jersey,[716] 4912716,http://www.amerasiandefensivearts.com/,null,school,
American Karate and Arnis Academy,"1703A Industrial Hwy., Cinnaminson ",08077,New Jersey,[856] 8294800,null,null,school,Arnis
Americas Finest Self Defense Academy,"976 Leggett Ave suite 1B, Bronx ",10455,New Jersey,[718] 7878699 ,null,null,school,
Anderson's Martial Arts,"394 Broadway, 3rd Floor, New York ",10013,New Jersey,[212] 766 – 6622,null,null,school,
Atienza Kali,Belleville,null,New Jersey,[201] 4635151,null,null,school,Kali
Atienza Kali,New York,null,New Jersey,[917] 5510603,null,null,school,Kali
Brentwood Self Defense Academy,"115 South 2nd Street, Suite #10, Brentwood ",11701,New Jersey,[631] 3989525,null,null,school,
Calla Karate and JuJutsu,"1293 Castleton Ave. (corner of clove rd.), Staten Islands ",10310,New Jersey,[718] 7202509 / [917] 4394969,null,null,school,
Doce Pares Multi-Style,Jersey City,07306,New Jersey,null,www.Eskrimador.Org,null@null.com,School,
Doce Pares Multi-Style,Livingston,07039,New Jersey,null,www.IMAFit.Com,null@null.com,School,
EBMAS NYC Latosa Escrima,"316 East 63rd St., New York ",10065,New Jersey,[855] 5532627,null,null,school,Escrima
Erie Community College (South Campus),"Principal Instructor/Adjunct Professor, 4041, Southwestern Blvd, Orchard Park ",14127,New Jersey,[716] 2702679,null,null,school,
Fil Am Kali and Silat of New Mexico,Rio Rancho ,87124,New Jersey,null,null,null,school,Kali
FMA Academy,"2792 Erie Blvd E., Syracuse ",13224,New Jersey,[315] 313KALI (5254),null,null,school,
FMA Kali Arnis Eskrima International,"475 Onderdonk Ave., Ridgewood, New York ",11385,New Jersey,[347] 3856771,null,null,school,Kali / Arnis / Eskrima
Horizon Martial Arts," 252 Center Rd., West Seneca ",14224,New Jersey,[716] 6750899,null,null,school,
Institute of Defensive Methods,"451 1st St., Hoboken ",07030,New Jersey,[201] 6830104,null,null,school,
Kapatid Martial Arts Academy,"175 Tompkins Ave., Pleasantville ",10570,New Jersey,[914] 7415550,null,null,school,
Kapatiran Mandirigma NYC,New York ,10003,New Jersey,null,null,null,school,
Klasi Kali 306 Gold St,New York ,10003,New Jersey,null,null,null,school,Kali
Klose Kombat Arts ,"10500 La Paz NW, Albuquerque ",87114,New Jersey,[505] 3794615,null,null,school,
Kuntaw Kali Kruzada,"65 Chestnut St., Red Bank ",07701,New Jersey,[201] 6746609,null,null,school,Kali
Kuntaw Kali Kruzada,"122 West 27th St. (2nd Flr.) (Between 6th & 7th Ave.), New York ",10001,New Jersey,[201] 6746609,null,null,school,Kali
Kuntaw Martial Arts (Kuntaw New York),"753 Flatbush Ave 2nd FL, Brooklyn ",11226,New Jersey,[347] 5850088,null,null,school,
Kwikstik Martial Arts,Jamaica ,11432,New Jersey,[718] 7393266,null,null,school,
Latosa Escrima at Fighthouse,"122 West 27 St. 2nd Floor , New York",10001,New Jersey,[646] 3697704,null,null,school,Escrima
Latosa Escrima NY,"316 7th St. (Corner of 5th Avenue 2nd Fl.), Brooklyn, (Park Slope) ",11215,New Jersey,[646] 3697704,null,null,school,Escrima
MFA Method of Modern Arnis,Neshanic Station,8852,New Jersey,732-735-6742,arnisfighter@verizon.net,null@null.com,School,Arnis
Modern Arnis Domog,"188 East 3rd. St. (Between Ave. A & B), New York ",10009,New Jersey,[212] 6143250,null,null,school,Arnis
Modern Fighting Arts Academy,"509 Hicksville Rd., Massapequa ",11758,New Jersey,[516] 8174374,null,null,school,
Modern Fighting Concepts,"307 White Horse Pike, Absecon",08201,New Jersey,(609) 646-2113,www.modernfightingconcepts.com,null@null.com,School,
Modern Fighting Concepts Academy,"307 White Horse Pike, Absecon ",08201,New Jersey,[609] 6462113,null,null,school,
Neo Tribe Kali,"122 West 27th Street, 2nd Floor, New York ",10001,New Jersey,[347] 2569291,null,null,school,Kali
New York Eskrima LLC,New York,null,New Jersey,[646] 2101542,null,null,school,Eskrima
Northeastern Martial Arts Institute,"Chili Paul Plaza, 3240 Chili Ave., Rochester ",14624,New Jersey,[585] 8897330,null,null,school,
Nubreed Martial Arts Academy,"1248 Clintonville St., Whitestone ",11357,New Jersey,[718] 7472550,null,null,school,
Olaanalo Eskrima New York,"3 Elm St,, Walden ",12586,New Jersey,[845] 7784402,null,null,school,Eskrima
Pami Kol Street Survival Self Defense,"2234 West Bangs Avenue, Neptune ",07753,New Jersey,[848] 2182646,null,null,school,
Pananandata Marinas 2 Worlds Dance + Fitness,"340 Wheatley Plaza, Greenvale ",11548,New Jersey,[516] 4846604,null,null,school,
Phoenix Martial Arts,"344 Jericho Turnpike, Floral Park ",11001,New Jersey,null,null,null,school,
PIMA Academy,"779 Bergen Avenue (Rm 111, 2nd Fl.) , Jersey City ",07306,New Jersey,[201] 4326441 / [201] 7925792,null,null,school,
Piscataway,,08854,New Jersey,[201] 8928015,null,null,school,
Progressive Martial Arts,"17525 Horace Harding Expy, Fresh Meadows ",11365,New Jersey,[718] 4610700,null,null,school,
Red Dragon Martial Arts Academy,"10 N.Arlington St., Manville ",08835,New Jersey,[908] 2530022,null,null,school,
Rising Phoenix Martial Arts,"Temple Hill Rd., New Windsor ",12553,New Jersey,[845] 7844359,null,null,school,
Rochester kali,Rochester ,14617,New Jersey,[585] 752 7827,null,null,school,kali
Rochester Kali,Rochester ,14617,New Jersey,[585] 752 7827,null,null,school,Kali
San Miguel Eskrima,"226 Laurel Road, East Northport ",11731,New Jersey,[631] 7487671,null,null,school,Eskrima
Sirat As Sayf MMA/FMA & Fitness Center,"13501 Liberty Ave., Richmond Hill ",11419,New Jersey,[646] 3977417,null,null,school,
South Jersey Tactical Fighting Arts,"1438 Backline Road, Folsom ",08037,New Jersey,[609] 2045733,null,null,school,
Tactics Martial Arts Studio,"1315 Hempstead Turnpike, Elmont ",11003,New Jersey,[559] 6975633,null,null,school,
Takai Mine Karate ,"1027 Juan Tabo NE, Albuquerque ",87111,New Jersey,[505] 2946302,null,null,school,
Tom Gallo Tactics Life Health & Fitness Club,"3711 35 Ave., Astoria ",11101,New Jersey,[559] 6975633,null,null,school,
Vee Arnis Jitsu School of Self Defense,"25 Park Place, 2nd Floor, New York ",10007,New Jersey,null,null,null,school,Arnis
Vee Do Kwan U.S.A.,"3944 24 St., Long Island City ",11101,New Jersey,[718] 3619569,null,null,school,
W.S.B.P. Eastern U.S. Chapter," 5291 Seneca Point Rd., Canandaigua ",14424,New Jersey,[585] 8203172,null,null,school,
Westchester Martial Arts Academy,"3 Sunnyside Terrace, Eastchester ",10709,New Jersey,[914] 9611800,null,null,school,
Westchester School of Arnis,White Plains,null,New Jersey,null,null,null,school,Arnis
Wing Chun Kali,Westchester County ,10710,New Jersey,[646] 6451141,null,null,school,Kali
World Kali Silat Society,"432 East 14 St. Box 638, New York ",10009,New Jersey,[212] 9791646,null,null,school,Kali
GENERAL FITNESS,"607 B OSUNA, NE, Albuquqerque, ",87113,New Mexico,null,null,null@null.com,School,
Takaimine Karate,"1027 Juan Tabo NE, Albuquerque",87111,New Mexico,(505) 294-6302,Takaiminekarate.com,null@null.com,School,
"Amerasian Defensive Arts, Palisutan Arnis","2512 Elmwood Ave., Kenmore",14217,New York,(716) 491-2716,http://www.amerasiandefensivearts.com/,null@null.com,School,Arnis
"Cabales Serrada Escrima New York, Westchester, Long Island and the 5 boros of NYC",Address New York,null,New York,null,null,CabalesSerradaEscimaNY@gmail.com,School,Escrima
Kapatiran Mandirigma NYC,Address New York,null,New York,null,www.kapatiran-mandirigma-NYC.com,kombatan.nyc@gmail.com,School,
Modern Fighting Arts Academy,"509 Hicksville Rd., Massapequa",11758,New York,(516) 817-4374,www.modernfightingartsacademy.com,null@null.com,School,
New York Fight Club school of JKD and Kali,"60 Welcher Ave, Peekskill",10566,New York,null,www.balancema.com,null@null.com,School,Kali
Progressive American Combatives,"150 North Main Street, Fairport",14450,New York,(585) 905-4488,www.pacejj.com,null@null.com,School,
Rising Phoenix Martial Arts,"153 Temple Hill Rd., New Windsor",12553,New York,845-784-4359,www.risingphoenixma.org,null@null.com,School,
"SIRAT AS-SAYF MORO KALI SYSTEM, Chief Instructor: NAJEE HASSAN","153-01 Jamaica Ave, Suite 501, Jamaica",11432,New York,null,www.siratulsaifinternational.com,info@siratulsaifinternational.com,School,KALI
Vital Point Martial Arts Academy,"5222 Transit Road, Depew",14043,New York,716.903.6704,http://vitalpointmartialarts.net/,null@null.com,School,
Westchester Martial Arts Academy,"3 Sunnyside Terrace, Eastchester",10709,New York,914-961-1800,www.westchestermartialartsclasses.com,null@null.com,School,
Counterpoint Tactical System,"182 Broadview Circle, Mooresville ",28117,North Carolina,[650] 2699726,null,null,school,
Fighting Edge,Fort Bragg ,28310,North Carolina,null,null,null,school,
Kuntaw Palace,"122 S. Goldsboro St., Wilson ",27893,North Carolina,[252] 2067900,null,null,school,
Pami Kol Street Survival Self Defense,"1612 Camden Rd. [Massey Hill Rec. Ctr], Fayetteville ",28306,North Carolina,[910] 4331569,null,null,school,
Stover's Martial Arts Academy,"3722 Carolina Beach Rd., Wilmington ",28412,North Carolina,[910] 7921762,null,null,school,
Sanano Karate Club / Trecehampas,"Box 386, North Dakota ",58530,North Dakota,[701] 7943399,null,null,school,
38131 Airport Parkway,"Unit 203, Willoughby, OH. ",44094,Ohio,[440] 2417450,null,null,school,
Academy of Filipino Martial Arts,"90 North Diamond St., Mansfield ",44906,Ohio,[419] 5572416,null,null,school,
Bob Yoder's Kung Fu and Kickboxing Academy,"2048 Sondra Ln., Grove City ",43123,Ohio,[614] 6495971,null,null,school,
Cincinnati Jeet Kune Do,"5116 CrookShank Rd., Cincinnati ",45238,Ohio,[513] 3647300,null,null,school,
Diversified Combat Arts and Sciences [Hikazelearningcorner],Wooster,null,Ohio,null,null,null,school,
HAMA Martial Arts,Parma,null,Ohio,[440] 6223684,null,null,school,
MAKTAN Filipino Martial Arts,"6875 Fountain Blvd. Suite K, Cincinnati ",45069,Ohio,[513] 2189042,null,null,school,
MAKTAN Martial Arts,Cincinnati,null,Ohio,null,www.MAKTAN.com,null@null.com,School,
Philippine Martial Arts Institute,"12613 State Rd, North Royalton ",44133,Ohio,[440] 2374138,null,null,school,
Serrada Eskrido Academy,"315 Kendal Ct. East, Amherst ",44001,Ohio,[440] 6106600,null,null,school,Eskrima
TAMA Martial Arts,"1753 Woodman Dr., Kettering ",45420,Ohio,[937] 2547035,null,null,school,
Adams Muay Thai Kali Academy,"6703 E. 81st. ST. Unit H, Tulsa ",74133,Oklahoma,[918] 4880707,null,null,school,Kali
MDT Martial Arts,Oklahoma City,null,Oklahoma,[405] 4208135,null,null,school,
Silent Warrior Arts,"8300 Glade Ave., Oklahoma City ",73132,Oklahoma,[405] 6265171,null,null,school,
Silent Warrior Arts,Oklahoma City/ Edmond,null,Oklahoma,405-367-9320,www.silentwarriorartsfederation.com,null@null.com,School,
Tulsa Martial Arts,"5123 S. 110th East Ave., Tulsa ",74146,Oklahoma,[918] 2610160,null,null,school,
A.P.I. International Combat Arts ,"12239 SE Stark St., Portland ",97233,Oregon,[503] 2874265,null,null,school,
Dan Anderson Karate School and Modern Arnis,"311 NE Roberts St., Gresham ",97030,Oregon,[503] 6658596,null,null,school,Arnis
Ernie Reyes' World Martial Arts," 3075 SW 234th Ave Suite 103, Hillsboro ",97123,Oregon,[503] 6421500,null,null,school,
Escrima Arnis Kali San Soo Oregon,"P.O. Box 3412, Ashland ",97520,Oregon,null,null,null,school,Escrima / Arnis / Kali
Eskabo Da’an,"5040 SE Milwaukie Ave., Portland ",97215,Oregon,[503] 3819145,null,null,school,
Kombatan Martial Arts Academy,"15875 SE 114 Ave. Suite O, Clackamas ",97015,Oregon,[503] 6573408,null,null,school,
Makoa Combatives Group,"3137 SW Primrose street #8, Portland ",97219,Oregon,[971] 5064610,null,null,school,
Northwest Fighting Arts,"1200 SE Morrison, Portland ",97214,Oregon,[503] 7402666,null,null,school,
Taodragon Martial Arts,"PO Box 11157, Eugene ",97440,Oregon,[541] 6831271,null,null,school,
Cebu West,"Unity and Sutton Ave., Folsom ",19033,Pennsylvania,[610] 3069308,null,null,school,
Kiski Martial Arts,"1155 Wildlife Lodge Rd, Lower Burrell ",15068,Pennsylvania,[724] 3345868,null,null,school,
Kuntao Martial Arts Club,"Franklin Commons, 400 Franklin Ave. Suite 245, Phoenixville ",19460,Pennsylvania,[610] 2373902 ext. 803,null,null,school,
Lathen Martial Arts," 257 West Riverview Ave., Pittsburgh ",15202,Pennsylvania,[412] 7345254 (kali),null,null,school,
Pennsylvania Pinakatay Arnis,"Forest Hills, Pittsburgh ",15221,Pennsylvania,[412]7797738,null,null,school,Arnis
PTKPA 342 Pottstown Pike,Exton ,19341,Pennsylvania,[610] 6399041,null,null,school,
Ryer Martial Arts Academy,"5440 Centre Ave., Pittsburgh ",15232,Pennsylvania,[412] 6217937,null,null,school,
Senkotiros,"499 Spruce St., St Marys, PA ",15857,Pennsylvania,(814) 5125001,null,null,school,
State College Martial Arts Academy,"412 W. College Ave., State College ",16801,Pennsylvania,[814] 2351015,null,null,school,
